,FPL_ID,FPL_Name,Understat_ID,Understat_Name
205,364,Emil Krafth,1545,Emil Krafth
206,585,Emmanuel Dennis,9301,Emmanuel Dennis
207,118,Enock Mwepu,9734,Enock Mwepu
208,724,Enzo Fernández,11356,Enzo Fernández
209,339,Eric Bailly,,
210,430,Eric Dier,643,Eric Dier
211,318,Erling Haaland,8260,Erling Haaland
212,151,Ethan Ampadu,,
213,630,Ethan Nwaneri,11132,Ethan Nwaneri
214,92,Ethan Pinnock,9678,Ethan Pinnock
215,771,Ethan Wady,,
216,706,Euan Pollock,,
217,596,Evan Ferguson,10177,Evan Ferguson
218,44,Ezri Konsa Ngoyo,7726,Ezri Konsa Ngoyo
219,366,Fabian Schär,76,Fabian Schär
220,282,Fabio Henrique Tavares,,
221,488,Fabio Silva,,
222,679,Facundo Buonanotte,11362,Facundo Buonanotte
223,347,Facundo Pellistri Rebollo,,
224,351,Federico Fernández,,
225,730,Felipe Augusto de Almeida Monteiro,,
226,670,Filip Marschall,,
227,540,Fin Stevens,,
228,509,Flynn Downes,10845,Flynn Downes
229,490,Francisco Jorge Tomás Oliveira,,
230,93,Frank Onyeka,9681,Frank Onyeka
231,426,Fraser Forster,831,Fraser Forster
232,331,Frederico Rodrigues de Paula Santos,,
233,56,Frédéric Guilbert,,
234,25,Fábio Ferreira Vieira,,
235,296,Fábio Freitas Gouveia Carvalho,,
236,16,Gabriel dos Santos Magalhães,,
237,28,Gabriel Fernando de Jesus,,
238,19,Gabriel Martinelli Silva,,
239,683,Garang Kuol,,
240,422,Gavin Bazunu,10765,Gavin Bazunu
241,758,George Abbott,11509,George Abbott
242,749,George Shelvey,,
243,747,George Wickens,,
244,700,Georginio Rutter,6937,Georginio Rutter
245,529,Gianluca Scamacca,6253,Gianluca Scamacca
246,399,Giulian Biancone,7282,Giulian Biancone
247,579,Gonçalo Manuel Ganchinho Guedes,,
248,3,Granit Xhaka,204,Granit Xhaka
249,681,Gustavo Henrique Furtado Scarpa,,
250,135,Hakim Ziyech,8992,Hakim Ziyech
251,541,Halil Dervişoğlu,,
252,723,Hamed Traorè,,
253,263,Hamza Choudhury,,
254,555,Harrison Ashby,,
255,211,Harrison Reed,910,Harrison Reed
256,378,Harry Arter,,
257,427,Harry Kane,647,Harry Kane
258,330,Harry Maguire,1687,Harry Maguire
259,727,Harry Souttar,6329,Harry Souttar
260,523,Harry Toffolo,10758,Harry Toffolo
261,212,Harry Wilson,5596,Harry Wilson
262,434,Harry Winks,,
263,264,Harvey Barnes,6681,Harvey Barnes
264,592,Harvey Davies,,
265,294,Harvey Elliott,7546,Harvey Elliott
266,658,Harvey Griffiths,,
267,606,Harvey Vale,,
268,449,Harvey White,8458,Harvey White
269,122,Haydon Roberts,,
270,558,Hugo Bueno López,,
271,425,Hugo Lloris,637,Hugo Lloris
272,481,Hwang Hee-chan,,
273,416,Ibrahima Diallo,6736,Ibrahima Diallo
274,290,Ibrahima Konaté,6326,Ibrahima Konaté
275,611,Idrissa Gueye,668,Idrissa Gueye
276,300,Ilkay Gündogan,314,Ilkay Gündogan
277,238,Illan Meslier,8715,Illan Meslier
278,722,Illia Zabarnyi,11486,Illia Zabarnyi
279,765,Imari Samuels,,
280,678,Isaac Price,9470,Isaac Price
281,757,Ishé Samuels-Smith,,
282,470,Issa Diop,3203,Issa Diop
283,214,Ivan Neves Abreu Cavaleiro,,
284,448,Ivan Perišić,,
285,80,Ivan Toney,998,Ivan Toney
286,557,Jackson Smith,,
287,162,Jack Butland,,
288,381,Jack Colback,767,Jack Colback
289,305,Jack Grealish,675,Jack Grealish
290,233,Jack Harrison,8720,Jack Harrison
291,677,Jack Hinshelwood,11269,Jack Hinshelwood
292,65,Jack Stacey,7823,Jack Stacey
293,404,Jack Stephens,1735,Jack Stephens
294,654,Jack Wells-Morrison,,
295,365,Jacob Murphy,6063,Jacob Murphy
296,47,Jacob Ramsey,8941,Jacob Ramsey
297,55,Jaden Philogene-Bidace,,
298,340,Jadon Sancho,6345,Jadon Sancho
299,75,Jaidon Anthony,10746,Jaidon Anthony
300,164,Jairo Riedewald,6027,Jairo Riedewald
301,710,Jakub Kiwior,10012,Jakub Kiwior
302,117,Jakub Moder,,
303,360,Jamaal Lascelles,766,Jamaal Lascelles
304,372,Jamal Lewis,7691,Jamal Lewis
305,61,Jamal Lowe,10865,Jamal Lowe
306,716,James Bree,11359,James Bree
307,652,James Furlong,,
308,570,James Garner,7438,James Garner
309,539,James Hill,,
310,268,James Justin,7753,James Justin
311,261,James Maddison,6818,James Maddison
312,154,James McArthur,633,James McArthur
313,317,James McAtee,,
314,274,James Milner,489,James Milner
315,199,James Tarkowski,1665,James Tarkowski
316,153,James Tomkins,530,James Tomkins
317,407,James Ward-Prowse,843,James Ward-Prowse
318,753,James Wright,,
319,234,Jamie Shackleton,,
320,255,Jamie Vardy,755,Jamie Vardy
321,544,Jan Paul van Hecke,10807,Jan Paul van Hecke
322,253,Jannik Vestergaard,,
323,410,Jan Bednarek,6042,Jan Bednarek
324,439,Japhet Tanganga,8222,Japhet Tanganga
325,196,Jarrad Branthwaite,,
326,465,Jarrod Bowen,1776,Jarrod Bowen
327,102,Jason Steele,7235,Jason Steele
328,363,Javier Manquillo Gaitán,,
329,219,Jay Stansfield,10718,Jay Stansfield
330,187,Jean-Philippe Gbamin,,
331,168,Jean-Philippe Mateta,5735,Jean-Philippe Mateta
332,64,Jefferson Lerma Solís,,
333,161,Jeffrey Schlupp,757,Jeffrey Schlupp
334,375,Jeff Hendrick,,
335,742,Jeremiah Chilokoa-Mullen,,
336,119,Jeremy Sarmiento Morante,,
337,527,Jesse Lingard,558,Jesse Lingard
338,172,Jesurun Rak-Sakyi,,
339,711,Jhon Durán,11366,Jhon Durán
340,671,Jimmy Morgan,,
341,165,Joachim Andersen,6314,Joachim Andersen
342,371,Joelinton Cássio Apolinário de Lira,,
343,276,Joel Matip,332,Joel Matip
344,578,Joel Robles,584,Joel Robles
345,156,Joel Ward,510,Joel Ward
346,512,Joe Ayodele-Aribo,10766,Joe Ayodele-Aribo
347,206,Joe Bryan,,
348,242,Joe Gelhardt,9339,Joe Gelhardt
349,384,Joe Lolley,,
350,442,Joe Rodon,,
351,505,Joe Rothwell,561,Joe Rothwell
352,373,Joe Willock,6630,Joe Willock
353,645,Joe Wormleighton,,
354,388,Joe Worrall,10756,Joe Worrall
355,634,John-Kymani Gordon,,
356,37,John McGinn,7723,John McGinn
357,302,John Stones,586,John Stones
358,477,Jonathan Castro Otto,,
359,389,Jonathan Panzo,,
360,349,Jonjo Shelvey,769,Jonjo Shelvey
361,249,Jonny Evans,807,Jonny Evans
362,159,Jordan Ayew,672,Jordan Ayew
363,275,Jordan Henderson,605,Jordan Henderson
364,182,Jordan Pickford,741,Jordan Pickford
365,675,Jordan Smith,,
366,76,Jordan Zemura,10740,Jordan Zemura
367,130,Jorge Luiz Frello Filho,,
368,739,Joseph Anang,,
369,286,Joseph Gomez,987,Joseph Gomez
370,566,Joseph Hodge,10755,Joseph Hodge
371,590,Joseph Whitworth,11005,Joseph Whitworth
372,83,Josh Dasilva,10405,Josh Dasilva
373,216,Josh Onomah,661,Josh Onomah
374,322,Josh Wilson-Esbrand,,
375,478,José Malheiro de Sá,,
376,503,João Filipe Iria Santos Moutinho,,
377,721,João Victor Gomes da Silva,,
378,306,João Cancelo,2379,João Cancelo
379,690,João Félix Sequeira,,
380,220,João Palhinha Gonçalves,,
381,109,Joël Veltman,8780,Joël Veltman
382,622,Juan Larios López,,
383,125,Julio Enciso,11058,Julio Enciso
384,319,Julián Álvarez,10846,Julián Álvarez
385,239,Junior Firpo Adames,,
386,58,Junior Stanislas,463,Junior Stanislas
387,126,Kacper Kozłowski,,
388,672,Kadan Young,,
389,601,Kaden Rodney,,
390,746,Kaelan Casey,,
391,537,Kaine Kesler Hayden,,
392,145,Kai Havertz,5220,Kai Havertz
393,520,Kalidou Koulibaly,1376,Kalidou Koulibaly
394,325,Kalvin Phillips,8719,Kalvin Phillips
395,731,Kamaldeen Sulemana,9630,Kamaldeen Sulemana
396,769,Kamari Doyle,11582,Kamari Doyle
397,124,Kaoru Mitoma,10806,Kaoru Mitoma
398,353,Karl Darlow,,
399,655,Karl Hein,,
400,687,Kasey McAteer,,
401,248,Kasper Schmeichel,,
402,515,Keane Lewis-Potter,10809,Keane Lewis-Potter
403,52,Keinan Davis,,
404,262,Kelechi Iheanacho,620,Kelechi Iheanacho
405,215,Kenny Tete,5973,Kenny Tete
406,133,Kepa Arrizabalaga,,
407,301,Kevin De Bruyne,447,Kevin De Bruyne
408,532,Kevin Mbabu,983,Kevin Mbabu
409,688,Kevin Schade,9156,Kevin Schade
410,729,Keylor Navas,2243,Keylor Navas
411,62,Kieffer Moore,10743,Kieffer Moore
412,8,Kieran Tierney,8089,Kieran Tierney
413,357,Kieran Trippier,652,Kieran Trippier
414,266,Kiernan Dewsbury-Hall,9739,Kiernan Dewsbury-Hall
415,604,Killian Phillips,,
416,542,Kjell Scherpen,,
417,643,Kobbie Mainoo,11174,Kobbie Mainoo
418,642,Kofi Balmer,,
419,292,Konstantinos Tsimikas,8852,Konstantinos Tsimikas
420,38,Kortney Hause,,
421,667,Kristian Sekularac,,
422,84,Kristoffer Ajer,9677,Kristoffer Ajer
423,236,Kristoffer Klaesson,,
424,740,Krisztián Hegyi,,
425,461,Kurt Zouma,935,Kurt Zouma
426,637,Kyle John,,
427,409,Kyle Walker-Peters,885,Kyle Walker-Peters
428,299,Kyle Walker,638,Kyle Walker
429,638,Lamare Bogarde,,
430,613,Layvin Kurzawa,3298,Layvin Kurzawa
431,479,Leander Dendoncker,7236,Leander Dendoncker
432,111,Leandro Trossard,7698,Leandro Trossard
433,243,Leo Fuhr Hjelde,,
434,45,Leon Bailey,5221,Leon Bailey
435,559,Levi Colwill,10805,Levi Colwill
436,241,Lewis Bate,,
437,273,Lewis Brunt,10168,Lewis Brunt
438,67,Lewis Cook,1789,Lewis Cook
439,106,Lewis Dunk,6048,Lewis Dunk
440,661,Lewis Hall,10216,Lewis Hall
441,741,Lewis Miley,11386,Lewis Miley
442,524,Lewis O'Brien,,
443,647,Lewis Payne,,
444,561,Lewis Warrington,,
445,221,Liam Cooper,8816,Liam Cooper
446,323,Liam Delap,,
447,631,Lino Sousa,,
448,533,Lisandro Martínez,10802,Lisandro Martínez
449,73,Lloyd Kelly,8090,Lloyd Kelly
450,626,Loris Karius,,
451,621,Loïc Badé,,
452,393,Loïc Mbe Soh,,
453,33,Lucas Digne,1823,Lucas Digne
454,431,Lucas Rodrigues Moura da Silva,,
455,603,Lucas Tolentino Coelho de Lima,,
456,22,Lucas Torreira di Pascua,,
457,525,Ludwig Augustinsson,6083,Ludwig Augustinsson
458,293,Luis Díaz,10408,Luis Díaz
459,508,Luis Sinisterra Lucumí,,
460,455,Lukasz Fabianski,706,Lukasz Fabianski
461,158,Luka Milivojevic,5549,Luka Milivojevic
462,222,Luke Ayling,8716,Luke Ayling
463,563,Luke Chambers,,
464,485,Luke Cundle,,
465,546,Luke Harris,10719,Luke Harris
466,320,Luke Mbete-Tabu,,
467,496,Luke Plange,,
468,332,Luke Shaw,1006,Luke Shaw
469,270,Luke Thomas,8562,Luke Thomas
470,413,Lyanco Silveira Neves Vojnovic,,
471,380,Lyle Taylor,,
472,91,Mads Bech Sørensen,9683,Mads Bech Sørensen
473,99,Mads Bidstrup,,
474,90,Mads Roerslev Rasmussen,,
475,143,Malang Sarr,,
476,173,Malcolm Ebiowei,10698,Malcolm Ebiowei
477,562,Manor Solomon,10716,Manor Solomon
478,610,Manuel Akanji,6490,Manuel Akanji
479,460,Manuel Lanzini,535,Manuel Lanzini
480,728,Marcel Sabitzer,5248,Marcel Sabitzer
481,129,Marcos Alonso,,
482,576,Marcos Senesi,10864,Marcos Senesi
483,635,Marcus Bettinelli,,
484,97,Marcus Forss,,
485,27,Marcus Oliveira Alencar,,
486,335,Marcus Rashford,556,Marcus Rashford
487,535,Marcus Tavernier,10741,Marcus Tavernier
488,251,Marc Albrighton,753,Marc Albrighton
489,112,Marc Cucurella Saseta,,
490,167,Marc Guéhi,,
491,759,Marc Jurado Gomez,,
492,245,Marc Roca Junqué,,
493,213,Marek Rodák,8704,Marek Rodák
494,698,Mario Lemina,1299,Mario Lemina
495,776,Mark Gillespie,,
496,72,Mark Travers,7582,Mark Travers
497,641,Martial Godo,,
498,355,Martin Dubravka,6532,Martin Dubravka
499,7,Martin Ødegaard,,
500,41,Marvelous Nakamba,,
501,192,Mason Holgate,985,Mason Holgate
502,142,Mason Mount,7768,Mason Mount
503,615,Matej Kovár,,
504,659,Mateo Joseph Fernández,,
