card_names,card_odds,contest
Anthony Gordon CM,18 - 22,Man Utd v Newcastle
Fabian Schar CM,13 - 17,Man Utd v Newcastle
Jamaal Lascelles CM,13 - 17,Man Utd v Newcastle
Sandro Tonali CM,10 - 14,Man Utd v Newcastle
Yoane Wissa CM,9 - 13,Man Utd v Newcastle
Jacob Ramsey CM,9 - 13,Man Utd v Newcastle
Lewis Hall CM,9 - 13,Man Utd v Newcastle
Lewis Miley CM,9 - 13,Man Utd v Newcastle
Malick Thiaw CM,8 - 12,Man Utd v Newcastle
Nick Woltemade CM,7 - 10,Man Utd v Newcastle
Joe Willock CM,7 - 10,Man Utd v Newcastle
Harvey Barnes CM,3 - 6,Man Utd v Newcastle
Aaron Ramsdale CM,5 - 8,Man Utd v Newcastle
Anthony Elanga CM,2.5 - 5,Man Utd v Newcastle
Jacob Murphy CM,2.5 - 5,Man Utd v Newcastle
Joelinton CM,16 - 20,Man Utd v Newcastle
Douglas Luiz CM,14 - 18,Nottingham Forest v Man City
Elliot Anderson CM,14 - 18,Nottingham Forest v Man City
Nicolas Dominguez CM,14 - 18,Nottingham Forest v Man City
Nikola Milenkovic CM,13 - 17,Nottingham Forest v Man City
Morato CM,12 - 16,Nottingham Forest v Man City
Neco Williams CM,12 - 16,Nottingham Forest v Man City
Murillo CM,10 - 14,Nottingham Forest v Man City
Morgan Gibbs-White CM,10 - 14,Nottingham Forest v Man City
Nicolo Savona CM,10 - 14,Nottingham Forest v Man City
Igor Jesus CM,7 - 10,Nottingham Forest v Man City
Omari Hutchinson CM,6 - 9,Nottingham Forest v Man City
James McAtee CM,5 - 8,Nottingham Forest v Man City
Arnaud Kalimuendo CM,5 - 8,Nottingham Forest v Man City
John CM,7 - 10,Nottingham Forest v Man City
Matz Sels CM,5 - 8,Nottingham Forest v Man City
Taiwo Awoniyi CM,3 - 6,Nottingham Forest v Man City
Callum Hudson-Odoi CM,2.5 - 5,Nottingham Forest v Man City
Bernardo Silva CM,15 - 19,Nottingham Forest v Man City
Nico Gonzalez CM,15 - 19,Nottingham Forest v Man City
Nico O'Reilly CM,9 - 13,Nottingham Forest v Man City
Matheus Nunes CM,9 - 13,Nottingham Forest v Man City
Savinho CM,8 - 12,Nottingham Forest v Man City
Josko Gvardiol CM,7 - 11,Nottingham Forest v Man City
Ruben Dias CM,7 - 11,Nottingham Forest v Man City
Gianluigi Donnarumma CM,10 - 14,Nottingham Forest v Man City
Tijjani Reijnders CM,7 - 10,Nottingham Forest v Man City
Rico Lewis CM,7 - 10,Nottingham Forest v Man City
Phil Foden CM,7 - 10,Nottingham Forest v Man City
Rayan Cherki CM,4 - 7,Nottingham Forest v Man City
James Trafford CM,6 - 9,Nottingham Forest v Man City
Erling Haaland CM,3 - 6,Nottingham Forest v Man City
Gabriel Jesus CM,13 - 17,Arsenal v Brighton
Christian Norgaard CM,12 - 16,Arsenal v Brighton
Piero Hincapie CM,10 - 14,Arsenal v Brighton
