,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
78,3086421,3,,[],41,4,3,4,160,"(230, 195, 350, 131, 12, 19, 108, 353, 143, 60, 355, 28, 160, 33, 602)",1008,355,19,39,5609958,5617960,3076547
79,3086421,4,,[],74,20,3,8,226,"(230, 195, 350, 131, 216, 19, 108, 353, 504, 60, 355, 28, 203, 33, 602)",1012,355,216,35,4696323,4703077,3995413
80,3086421,5,,[],40,4,1,0,266,"(28, 195, 350, 203, 216, 19, 108, 516, 504, 60, 355, 230, 131, 33, 602)",1014,355,516,19,6791500,6839891,4460671
81,3086421,6,,[],84,6,2,4,346,"(230, 405, 350, 131, 216, 19, 108, 516, 504, 343, 355, 28, 203, 33, 602)",1014,355,516,39,1312184,1324159,3390140
82,3086421,7,,"[(131, 405)]",35,11,0,0,381,"(28, 350, 602, 131, 216, 19, 108, 516, 504, 355, 343, 230, 33, 405, 203)",1016,355,19,39,8256662,8280867,4513912
83,3086421,8,,[],44,6,4,8,417,"(230, 519, 350, 36, 526, 108, 516, 504, 60, 343, 355, 28, 19, 405, 602)",1019,516,355,0,5105516,5107756,5047065
84,3086421,9,,[],78,16,1,0,495,"(28, 519, 350, 36, 526, 303, 516, 504, 60, 343, 355, 230, 108, 405, 602)",1022,355,516,10,2791311,2817433,4306902
85,3086421,10,wildcard,"[(178, 5)]",74,2,0,0,569,"(524, 36, 311, 178, 526, 308, 362, 516, 19, 60, 355, 116, 33, 5, 228)",1020,308,60,11,2640608,2681626,3838542
86,3086421,11,,[],36,13,0,0,605,"(524, 311, 36, 228, 362, 526, 308, 516, 19, 60, 355, 116, 33, 178, 5)",1028,355,308,11,2990395,3041891,3537905
87,3086421,12,,[],76,23,1,0,681,"(524, 36, 5, 228, 419, 526, 308, 516, 19, 60, 355, 116, 362, 33, 311)",1034,308,19,10,2073189,2098391,2948172
88,3086421,13,,"[(33, 526)]",49,9,1,0,730,"(524, 20, 5, 228, 308, 362, 516, 19, 33, 60, 355, 116, 526, 419, 311)",1038,516,308,6,3866600,3906954,2835431
89,3086421,14,,[],54,9,2,0,784,"(524, 5, 20, 311, 108, 362, 308, 516, 19, 293, 355, 116, 419, 33, 228)",1039,355,308,16,5682222,5705205,2996207
90,3086421,15,,"[(419, 311)]",37,3,1,0,821,"(409, 20, 419, 5, 108, 308, 362, 516, 19, 293, 355, 524, 311, 228, 33)",1042,308,516,15,4177777,4225492,2912846
91,3086421,16,,"[(409, 524), (33, 355)]",67,1,2,4,884,"(409, 20, 311, 506, 412, 308, 362, 516, 19, 293, 33, 524, 355, 5, 419)",1042,355,516,16,417408,425016,2035936
92,3086421,17,,"[(5, 85)]",67,8,1,0,951,"(409, 20, 311, 506, 5, 412, 308, 362, 516, 19, 293, 524, 85, 33, 419)",1046,308,516,89,585613,599031,1402868
