,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
58,2123267,4307475,21,,"[(197, 584), (260, 308)]",49,1113,"(524, 197, 506, 220, 260, 664, 412, 216, 557, 343, 60, 409, 584, 308, 355)",343,308,4
59,2123267,4307475,22,,"[(260, 584), (355, 308)]",58,1171,"(524, 260, 506, 220, 664, 412, 216, 557, 355, 343, 60, 409, 197, 584, 308)",343,308,4
60,2123267,4307475,23,,"[(260, 584), (355, 308)]",41,1212,"(524, 260, 506, 220, 664, 412, 216, 557, 355, 343, 60, 409, 197, 584, 308)",343,308,4
61,2123267,4307475,24,,"[(355, 538)]",54,1230,"(524, 369, 506, 290, 509, 353, 294, 362, 12, 355, 60, 284, 473, 157, 538)",538,294,1
62,2123267,4307475,25,,[],77,1283,"(263, 313, 430, 342, 303, 294, 353, 12, 326, 117, 355, 284, 362, 157, 473)",355,294,2
63,2123267,4307475,26,,[],75,1310,"(49, 29, 131, 342, 557, 382, 353, 19, 526, 60, 355, 409, 427, 326, 321)",355,382,5
64,2123267,4307475,27,,"[(427, 557)]",82,1392,"(49, 342, 131, 29, 427, 353, 382, 526, 19, 355, 60, 409, 557, 326, 321)",355,382,5
65,2123267,4307475,28,,[],65,1445,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
66,2123267,4307475,29,,[],9,1454,"(597, 313, 29, 321, 308, 382, 526, 19, 85, 326, 60, 409, 353, 407, 342)",85,326,0
67,2123267,4307475,30,,[],50,1504,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
68,2123267,4307475,31,,"[(353, 19), (407, 60)]",59,1563,"(597, 313, 29, 321, 407, 308, 382, 526, 353, 85, 326, 409, 19, 60, 342)",85,326,0
69,2123267,4307475,32,,[],56,1619,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
70,2123267,4307475,33,,"[(407, 526)]",46,1665,"(597, 313, 29, 321, 407, 308, 382, 19, 85, 326, 60, 409, 353, 526, 342)",85,326,0
71,2123267,4307475,34,,"[(353, 526)]",88,1753,"(597, 313, 29, 321, 308, 382, 353, 19, 85, 326, 60, 409, 526, 407, 342)",85,326,0
72,2123267,4307475,35,,[],48,1801,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
73,2123267,4307475,36,,[],46,1847,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
74,2123267,4307475,37,,[],44,1891,"(597, 29, 313, 321, 308, 382, 19, 526, 326, 60, 85, 409, 353, 407, 342)",85,326,0
75,2123267,4307475,38,,"[(407, 19)]",49,1940,"(597, 342, 313, 29, 407, 308, 353, 382, 85, 326, 60, 409, 526, 19, 321)",85,326,0
76,2123267,361997,1,,[],62,62,"(263, 36, 131, 473, 373, 308, 19, 226, 353, 60, 355, 28, 538, 316, 160)",19,308,0
77,2123267,361997,2,,[],45,107,"(28, 36, 131, 473, 373, 308, 19, 226, 599, 60, 355, 263, 538, 316, 160)",308,355,10
78,2123267,361997,3,wildcard,[],60,167,"(352, 519, 131, 195, 108, 308, 19, 140, 599, 415, 355, 28, 33, 160, 602)",355,308,2
79,2123267,361997,4,,[],77,244,"(352, 519, 131, 195, 601, 308, 19, 140, 599, 415, 355, 28, 33, 160, 602)",355,308,14
80,2123267,361997,5,,"[(160, 131), (33, 140), (602, 415)]",45,289,"(352, 519, 195, 160, 602, 308, 19, 599, 601, 33, 355, 28, 140, 131, 415)",355,308,14
81,2123267,361997,6,,"[(601, 140)]",54,343,"(352, 519, 195, 131, 308, 19, 601, 599, 355, 343, 594, 28, 140, 160, 602)",355,308,12
82,2123267,361997,7,,[],36,379,"(352, 519, 131, 160, 308, 19, 140, 599, 343, 594, 355, 28, 602, 601, 195)",355,308,12
83,2123267,361997,8,,[],38,417,"(352, 519, 36, 160, 308, 19, 504, 599, 343, 594, 355, 28, 602, 601, 131)",355,308,2
84,2123267,361997,9,,"[(28, 352)]",66,417,"(28, 519, 36, 602, 308, 19, 504, 599, 567, 355, 343, 352, 33, 160, 131)",355,308,8
85,2123267,361997,10,,[],84,417,"(352, 519, 36, 602, 308, 19, 504, 599, 567, 343, 355, 28, 33, 160, 131)",355,308,8
86,2123267,361997,11,,"[(33, 567)]",26,417,"(352, 519, 36, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 131)",355,308,8
87,2123267,361997,12,,"[(160, 519), (33, 504)]",71,417,"(352, 160, 36, 602, 308, 19, 599, 567, 33, 355, 343, 28, 504, 519, 131)",355,308,8
88,2123267,361997,13,,"[(160, 602), (33, 504)]",35,417,"(352, 519, 36, 160, 308, 19, 599, 567, 33, 355, 343, 28, 504, 602, 131)",355,308,8
89,2123267,361997,14,,"[(33, 504), (160, 567)]",51,417,"(352, 519, 36, 602, 160, 308, 19, 599, 33, 355, 343, 28, 504, 567, 131)",355,308,8
90,2123267,361997,15,,"[(33, 504)]",22,417,"(352, 519, 36, 602, 308, 19, 599, 567, 33, 355, 343, 28, 504, 160, 131)",355,308,8
91,2123267,361997,16,,"[(160, 602), (33, 504)]",50,417,"(352, 519, 36, 160, 308, 19, 599, 567, 33, 355, 343, 28, 504, 602, 131)",355,308,8
